,file,cell,length,burst,tonic,silent,numbursts,burst_length_cv,ibi_cv,spikespburst,spikespburst_cv,burst_length,ibi_length,tonic_isi,tonic_isi_cv
15818001,15818001,1s/14/30,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15515000,15515000,14/30,60099.9,0.00627760594704,0.482787963042,0.510934431011,8,0.269498928614,0.356046994128,77.75,0.359251918641,2.8343375,4.74271428571,0.5995,0.57783159505
15o14010,15o14010,1b/6/7,300000.0,0.000164276666667,0.832282136667,0.167553586667,3,0.018187475059,0.066669500953,62.0,0.741701692945,7.39245,7.05645,1.3825,0.577559038052
15216017,15216017,NK,15500.0,0.0,0.719578793548,0.280421206452,,,,,,,,0.0395,0.584612822215
15423003,15423003,1b/6/7,120099.9,0.0,0.522895600246,0.477104399754,,,,,,,,1.017,0.577634049138
15421006,15421006,1s?,5347300.0,0.0,0.000328526359097,0.999671473641,,,,,,,,2.673,0.577458255774
15219000,15219000,NK,277500.0,0.00214588296405,0.0182062468468,0.979647870189,12,0.739664719481,0.528740291671,69.9166666667,0.68130855704,13.7705333333,5.00977272727,0.458,0.577980220571
15216012,15216012,NK,63550.00000000001,0.00118481083494,0.00137899291896,0.997436196246,2,0.0486898586828,0.0,30.0,0.0,2.39249,27.8494,0.0315,0.586442958791
15511000,15511000,NK,120099.9,0.00253773125201,0.546670588402,0.450791680346,13,0.497231662955,0.514494775501,28.7692307692,0.47837803975,2.81570769231,6.329875,0.5185,0.577906751506
15505000,15505000,6/7,120099.9,0.0,0.37377707725,0.62622292275,,,,,,,,0.767,0.577726515739
15826016,15826016,1b/6/7,83507.20000000001,0.0,0.0,1.0,,,,,,,,0.041,0.584348709791
15728001,15728001,1s,120000.0,0.0,0.747094688333,0.252905311667,,,,,,,,0.6825,0.5777730816
15o20016,15o20016,6/7,300000.0,0.0,0.374850553333,0.625149446667,,,,,,,,1.087,0.57761577864
15o12001,15o12001,6/7,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15414000,15414000,NK,120099.9,0.0,0.917922442067,0.082077557933,,,,,,,,0.855,0.577687802261
15o12002,15o12002,1b/6/7,60000.0,0.000735527777778,0.848736053333,0.150528418889,1,0.0,,59.0,0.0,2.6479,,0.421,0.578035551649
15316006,15316006,NK,120000.0,0.0,0.894088164167,0.105911835833,,,,,,,,1.19,0.577592802395
15310000,15310000,NK,120000.0,0.00617161111111,0.0352761533333,0.958552235556,14,0.729000517591,0.407714531054,91.9285714286,0.852623384653,6.34794285714,2.22496153846,0.6795,0.577774947636
15827017,15827017,1b,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15505002,15505002,NK,120099.9,0.00105903458456,0.744301761284,0.254639204132,4,0.236693965348,0.618181845309,59.75,0.795056151296,3.818875,33.51255,0.858,0.577686622419
15826034,15826034,1b,60467.2,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15611000,15611000,14/30,60000.0,0.00688466666667,0.409242761667,0.583872571667,7,0.462743326818,0.546419191799,48.0,0.561451845311,3.54068571429,4.35486666667,0.4615,0.577975445625
15819000,15819000,1s/14/30,63488.0,0.0,0.0,1.0,,,,,,,,0.031,0.586588460085
15505004,15505004,NK,1512700.0,5.51357935177e-05,0.259198561777,0.74074630243,37,0.877763909597,1.89369405651,25.5405405405,1.04079440258,3.40986762162,4.80478888889,7.409,0.129629117211
15811000,15811000,1b,60000.0,0.0,0.00309335833333,0.996906641667,,,,,,,,0.0295,0.587054314661
15319005,15319005,NK,58150.00000000001,0.0,0.0,1.0,,,,,,,,0.0285,0.587391896238
